Deadline Date,Scholarship Name,Amount Min,Amount Max,Priority,Status,Category,Requirements,Application Link,Notes
2025-01-31,"Society of Women Engineers (SWE)",$1000,$15000,HIGH,Not Started,"Women in STEM","Transcripts, Resume, Essays, Recommendations","https://swe.org/scholarships/","Single app = 330+ scholarships!"
2025-01-31,"APS/IBM Research Internship for Undergraduate Women",$8000,$8000,HIGH,Not Started,"Women in STEM","Application, Resume, Academic standing","https://www.scholarships.com/scholarships/aps-ibm-research-internship-for-undergraduate-women","Deadline Jan 31, 2026"
2026-01-31,"MPOWER Women in STEM Scholarship",$1000,$5000,HIGH,Not Started,"Women in STEM","Essays, Transcripts","https://www.mpowerfinancing.com/scholarships/women-in-stem","1st place $5k, 2nd $2k, 3rd $1k"
2026-02-04,"Fund for Education Abroad",$1250,$10000,HIGH,Not Started,"Study Abroad","Essays, Transcripts, Financial docs, Recommendation","https://fundforeducationabroad.org/","For study abroad programs"
2025-02-24,"Community Scholarship Fund of Barrington",$1000,$10000,HIGH,Not Started,"Local/Community","Application, Essays, Transcripts, Financial docs, Recommendations","https://csfofbarrington.com/apply/","Barrington RI residents - based on need + merit"
2026-03-05,"Benjamin A. Gilman Scholarship",$5000,$8000,HIGH,Not Started,"Study Abroad","4 Essays, Transcripts, Advisor certifications","https://www.gilmanscholarship.org/","Requires Pell Grant eligibility + FAFSA"
2025-03-06,"Gilman-DAAD Germany Scholarship",$5000,$5000,HIGH,Not Started,"Study Abroad","Same as Gilman + Germany essay","https://www.daad.org/en/find-funding/undergraduate-opportunities/gilman-daad-germany-scholarships/","Apply WITH Gilman if studying in Germany - Total $13k possible!"
2025-03-17,"Palantir Women in Technology Scholarship",$7000,$7000,HIGH,Not Started,"Women in STEM","Essays, Transcripts, Resume, Recommendations","https://www.scholarships.com/scholarships/palantir-women-in-technology-scholarship","Includes professional development + internship opportunities"
2025-03-17,"Microsoft Women at Microsoft (WAM)",$5000,$5000,HIGH,Not Started,"Women in STEM","Transcripts, Resume, Essays, Recommendations","https://www.microsoft.com/en-us/diversity/women-at-microsoft-scholarship","26 awards available"
2025-03-24,"CUNEF Universidad Scholarships (Spain)",€1000,€5000,MEDIUM,Not Started,"University-Specific","Application, Academic merit","https://www.cunef.edu/en/scholarships/","Applications March 24 - May 15, 2025"
2025-09-01,"NCWIT Aspirations - Applications Open",$500,$10000,MEDIUM,Not Started,"Women in STEM","Essays, Computing activities","https://www.aspirations.org/","Applications open Sept 1, 2025"
2025-10-01,"FAFSA Opens (2026-27)",$0,$7395,HIGH,Not Started,"Federal Aid","Tax returns, Income info, Student info","https://studentaid.gov/h/apply-for-aid/fafsa","Pell Grant up to $7,395/year - Required for Gilman!"
