Application Deadline,Company,Program Name,Compensation,Duration,Location,Category,Requirements,Application Link,Status,Notes
2025-12-15,"Google","STEP Internship (2026)",$8000-9000/month,12 weeks,"US (Multiple locations)","Women in Tech","Resume, Transcripts, Coding assessment","https://buildyourfuture.withgoogle.com/programs/step",Research Needed,"Program may be discontinued - monitor official channels. First/second-year students. Strong focus on underrepresented groups."
2026-01-31,"Microsoft","Explore Program 2026",$7500-8500/month,12 weeks,"US (Redmond, WA)","Women in Tech","Resume, Essays, Coding assessment","https://careers.microsoft.com/students/us/en/usexploremicrosoftprogram",Research Needed,"For first/second-year students. Two rotations: Software Engineering + Program Management."
2026-01-31,"Meta","Meta University 2026",$8000-9500/month,10 weeks,"US (Menlo Park, CA)","Women in Tech","Resume, Transcripts, Coding challenges","https://www.metacareers.com/careerprograms/pathways/metauniversity",Research Needed,"For first/second-year students. Includes bootcamp + team project."
2026-02-15,"Palantir","Path Internship 2026",$7000-8000/month,10 weeks,"US (Multiple locations)","Women in Tech","Resume, Essays, Technical interviews","https://www.palantir.com/careers/students/path/",Research Needed,"For women and underrepresented minorities in tech. Software engineering focus."
2026-02-28,"Amazon","Future Engineer Internship",$6000-7000/month,12 weeks,"US (Seattle + others)","Diversity Program","Resume, Essays, Interview","https://www.amazonfutureengineer.com/",Research Needed,"For underrepresented students in CS. Rising freshmen/sophomores eligible."
TBD,"IBM","Early Career Programs",Varies,Varies,"US + Global","General","Resume, Interview","https://www.ibm.com/careers/us-en/students",Research Needed,"Various programs for students. Check site for summer 2026 openings."
TBD,"Salesforce","Futureforce Tech Launchpad",$8000-9000/month,12 weeks,"US (San Francisco + others)","Women in Tech","Resume, Coding challenge, Interview","https://www.salesforce.com/company/careers/university-recruiting/",Research Needed,"For first/second-year students. Focus on software engineering."
TBD,"Twitter/X","Early Career Internships",$7000-8000/month,12 weeks,"US (San Francisco)","General","Resume, Coding assessment, Interview","https://careers.twitter.com/",Research Needed,"Check for 2026 summer programs. Uncertain due to company changes."
TBD,"Netflix","Pathways Program",$9000-10000/month,12 weeks,"US (Los Gatos, CA)","Diversity Program","Resume, Portfolio, Interview","https://jobs.netflix.com/",Research Needed,"For underrepresented students. Highly competitive."
TBD,"Apple","Engineering Internships",$7500-9000/month,12 weeks,"US (Cupertino + others)","General","Resume, Technical interview","https://www.apple.com/careers/us/students.html",Research Needed,"Various programs. Check for first-year opportunities."
TBD,"Nvidia","Ignite Program",$7000-8500/month,12 weeks,"US (Santa Clara + others)","Women in Tech","Resume, Technical assessment","https://www.nvidia.com/en-us/about-nvidia/careers/students-and-new-grads/",Research Needed,"Focus on GPU computing, AI, ML. First/second-year eligible."
TBD,"Uber","STAR Internship",$7500-8500/month,12 weeks,"US (San Francisco)","Diversity Program","Resume, Coding challenge, Interview","https://www.uber.com/us/en/careers/teams/university/",Research Needed,"For underrepresented students in tech."
TBD,"LinkedIn","REACH Apprenticeship",$7000-8000/month,12 weeks,"US (Sunnyvale, CA)","Diversity Program","Resume, Portfolio, Interview","https://careers.linkedin.com/students",Research Needed,"For underrepresented groups. Engineering focus."
TBD,"Snap","Academy for Underrepresented Minorities",$7500-8500/month,12 weeks,"US (Los Angeles, CA)","Diversity Program","Resume, Portfolio, Technical interview","https://www.snap.com/en-US/jobs",Research Needed,"Focus on product design and engineering."
TBD,"Roblox","Student Programs",$7000-8500/month,12 weeks,"US (San Mateo, CA)","General","Resume, Portfolio, Interview","https://corp.roblox.com/careers/students/",Research Needed,"Game development, AI, data science roles."
TBD,"Adobe","Research Women-in-Technology Internship",$7500-9000/month,12 weeks,"US (San Jose + others)","Women in Tech","Resume, Portfolio, Technical interview","https://www.adobe.com/careers/university.html",Research Needed,"Focus on CS/Data Science/AI. Research-oriented."
TBD,"Stripe","Summer Internships",$8000-9000/month,12 weeks,"US (San Francisco)","General","Resume, Coding challenge, Interview","https://stripe.com/jobs/university",Research Needed,"Fintech focus. Software engineering roles."
TBD,"Square (Block)","Early Career Programs",$7000-8000/month,12 weeks,"US (San Francisco)","General","Resume, Interview","https://www.block.xyz/careers/university",Research Needed,"Fintech/payments focus."
TBD,"Pinterest","Apprenticeship Program",$7000-8000/month,12 weeks,"US (San Francisco)","Diversity Program","Resume, Portfolio, Interview","https://www.pinterestcareers.com/early-career/apprenticeship-program/",Research Needed,"For underrepresented groups in tech."
TBD,"Airbnb","Connect Internship",$8000-9000/month,12 weeks,"US (San Francisco)","Diversity Program","Resume, Coding challenge, Interview","https://careers.airbnb.com/university/",Research Needed,"For underrepresented students. Software engineering."
TBD,"Dropbox","Launch Internship",$7500-8500/month,12 weeks,"US (San Francisco)","Women in Tech","Resume, Technical interview","https://www.dropbox.com/jobs/teams/emerging-talent",Research Needed,"For first/second-year students."
TBD,"GitHub","Student Programs",$7000-8000/month,12 weeks,"US (Remote/San Francisco)","General","Resume, Portfolio, Technical interview","https://github.com/about/careers",Research Needed,"Remote-friendly. Developer tools focus."
TBD,"Lyft","Early Talent Programs",$7500-8500/month,12 weeks,"US (San Francisco)","General","Resume, Coding challenge, Interview","https://www.lyft.com/careers/early-talent",Research Needed,"Transportation tech, data science roles."
TBD,"Twitch","University Programs",$7000-8000/month,12 weeks,"US (San Francisco)","General","Resume, Technical interview","https://www.twitch.tv/jobs/",Research Needed,"Streaming platform, data science opportunities."
TBD,"DoorDash","Summer Internships",$7500-8500/month,12 weeks,"US (San Francisco)","General","Resume, Coding challenge, Interview","https://careers.doordash.com/university/",Research Needed,"Logistics, data science, ML roles."
TBD,"Coinbase","University Programs",$8000-9000/month,12 weeks,"US (San Francisco)","General","Resume, Technical interview","https://www.coinbase.com/careers/students",Research Needed,"Crypto/blockchain focus. Software engineering."
TBD,"OpenAI","Research Internships",$9000-11000/month,12 weeks,"US (San Francisco) + Remote","AI Research","Resume, Research portfolio, Publications","https://openai.com/careers/",Research Needed,"Highly competitive. AI research focus. May require graduate level."
TBD,"DeepMind","Student Researcher Program",£4000-6000/month,12 weeks,"UK (London) + France (Paris)","AI Research","Resume, Research portfolio, Technical interview","https://www.deepmind.com/careers/students",Research Needed,"Cutting-edge AI research. Highly competitive."
TBD,"Hugging Face","Internships","€3000-5000/month (EU), $8000-10000/month (US)",12 weeks,"Remote + Paris + NYC","AI/NLP","Resume, Portfolio, Technical interview","https://huggingface.co/jobs",Research Needed,"NLP and ML focus. Remote-friendly."
TBD,"Anthropic","Research Internships",$9000-11000/month,12 weeks,"US (San Francisco)","AI Research","Resume, Research portfolio, Publications","https://www.anthropic.com/careers",Research Needed,"AI safety research. Highly competitive."
TBD,"Cohere","AI Internships",$8000-10000/month,12 weeks,"US + Canada (Remote)","AI/NLP","Resume, Portfolio, Technical interview","https://cohere.com/careers",Research Needed,"NLP, large language models. Remote-friendly."
